gr	prop	sp	rb	mType	gType
C	0.167164179104478	M (PTE)	>11.29 cM/Mb	C-to-G	gBGC- (TV)
C	0.144638403990025	M (PTS)	≤4.25 cM/Mb	C-to-G	gBGC- (TV)
C	0.169064748201439	M (PTS)	4.25-11.29 cM/Mb	C-to-G	gBGC- (TV)
C	0.194756554307116	M (PTS)	>11.29 cM/Mb	C-to-G	gBGC- (TV)
C	0.151098901098901	M (PTT)	≤4.25 cM/Mb	C-to-G	gBGC- (TV)
C	0.174887892376682	M (PTT)	4.25-11.29 cM/Mb	C-to-G	gBGC- (TV)
C	0.200836820083682	M (PTT)	>11.29 cM/Mb	C-to-G	gBGC- (TV)
C	0.14760147601476	M (PTV)	≤4.25 cM/Mb	C-to-G	gBGC- (TV)
C	0.16	M (PTV)	4.25-11.29 cM/Mb	C-to-G	gBGC- (TV)
C	0.177215189873418	M (PTV)	>11.29 cM/Mb	C-to-G	gBGC- (TV)
O	0.117386489479513	M (PAB)	≤4.25 cM/Mb	C-to-G	gBGC- (TV)
O	0.113475177304965	M (PAB)	4.25-11.29 cM/Mb	C-to-G	gBGC- (TV)
O	0.159392789373814	M (PAB)	>11.29 cM/Mb	C-to-G	gBGC- (TV)
O	0.0907894736842105	M (PPY)	≤4.25 cM/Mb	C-to-G	gBGC- (TV)
O	0.136666666666667	M (PPY)	4.25-11.29 cM/Mb	C-to-G	gBGC- (TV)
O	0.12807881773399	M (PPY)	>11.29 cM/Mb	C-to-G	gBGC- (TV)
H	0.310309795713534	S	≤4.25 cM/Mb	C-to-T	gBGC+ (TS)
H	0.258842702970411	S	4.25-11.29 cM/Mb	C-to-T	gBGC+ (TS)
H	0.258338480543545	S	>11.29 cM/Mb	C-to-T	gBGC+ (TS)
C	0.267873231822687	S	≤4.25 cM/Mb	C-to-T	gBGC+ (TS)
C	0.274208171697805	S	4.25-11.29 cM/Mb	C-to-T	gBGC+ (TS)
C	0.258520179372197	S	>11.29 cM/Mb	C-to-T	gBGC+ (TS)
G	0.285942542655516	S	≤4.25 cM/Mb	C-to-T	gBGC+ (TS)
G	0.308990722934849	S	4.25-11.29 cM/Mb	C-to-T	gBGC+ (TS)
G	0.281942474799187	S	>11.29 cM/Mb	C-to-T	gBGC+ (TS)
O	0.341038202674575	S	≤4.25 cM/Mb	C-to-T	gBGC+ (TS)
O	0.319184515761759	S	4.25-11.29 cM/Mb	C-to-T	gBGC+ (TS)
O	0.316188929562437	S	>11.29 cM/Mb	C-to-T	gBGC+ (TS)
H	0.201017811704835	M	≤4.25 cM/Mb	C-to-T	gBGC+ (TS)
H	0.196969696969697	M	4.25-11.29 cM/Mb	C-to-T	gBGC+ (TS)
H	0.229357798165138	M	>11.29 cM/Mb	C-to-T	gBGC+ (TS)
G	0.228965517241379	M	≤4.25 cM/Mb	C-to-T	gBGC+ (TS)
G	0.230357142857143	M	4.25-11.29 cM/Mb	C-to-T	gBGC+ (TS)
G	0.198910081743869	M	>11.29 cM/Mb	C-to-T	gBGC+ (TS)
C	0.248677248677249	M (PPA)	≤4.25 cM/Mb	C-to-T	gBGC+ (TS)
C	0.230769230769231	M (PPA)	4.25-11.29 cM/Mb	C-to-T	gBGC+ (TS)
C	0.142045454545455	M (PPA)	>11.29 cM/Mb	C-to-T	gBGC+ (TS)
C	0.193211488250653	M (PTE)	≤4.25 cM/Mb	C-to-T	gBGC+ (TS)
C	0.221411192214112	M (PTE)	4.25-11.29 cM/Mb	C-to-T	gBGC+ (TS)
C	0.176119402985075	M (PTE)	>11.29 cM/Mb	C-to-T	gBGC+ (TS)
C	0.182044887780549	M (PTS)	≤4.25 cM/Mb	C-to-T	gBGC+ (TS)
C	0.224820143884892	M (PTS)	4.25-11.29 cM/Mb	C-to-T	gBGC+ (TS)
C	0.198501872659176	M (PTS)	>11.29 cM/Mb	C-to-T	gBGC+ (TS)
C	0.217032967032967	M (PTT)	≤4.25 cM/Mb	C-to-T	gBGC+ (TS)
C	0.205156950672646	M (PTT)	4.25-11.29 cM/Mb	C-to-T	gBGC+ (TS)
C	0.195258019525802	M (PTT)	>11.29 cM/Mb	C-to-T	gBGC+ (TS)
C	0.177121771217712	M (PTV)	≤4.25 cM/Mb	C-to-T	gBGC+ (TS)
C	0.175	M (PTV)	4.25-11.29 cM/Mb	C-to-T	gBGC+ (TS)
C	0.160337552742616	M (PTV)	>11.29 cM/Mb	C-to-T	gBGC+ (TS)
O	0.243632336655592	M (PAB)	≤4.25 cM/Mb	C-to-T	gBGC+ (TS)
O	0.235815602836879	M (PAB)	4.25-11.29 cM/Mb	C-to-T	gBGC+ (TS)
O	0.180265654648956	M (PAB)	>11.29 cM/Mb	C-to-T	gBGC+ (TS)
O	0.247368421052632	M (PPY)	≤4.25 cM/Mb	C-to-T	gBGC+ (TS)
O	0.236666666666667	M (PPY)	4.25-11.29 cM/Mb	C-to-T	gBGC+ (TS)
O	0.231527093596059	M (PPY)	>11.29 cM/Mb	C-to-T	gBGC+ (TS)
H	0.102742995630301	S	≤4.25 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
H	0.0776867880630708	S	4.25-11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
H	0.0920568252007412	S	>11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.0896983962519146	S	≤4.25 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.0939604048691309	S	4.25-11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.0851586754053122	S	>11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
G	0.0944761820222297	S	≤4.25 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
G	0.0864256883835929	S	4.25-11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
G	0.0856252703509223	S	>11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
O	0.103742784389275	S	≤4.25 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
O	0.0866197016058256	S	4.25-11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
O	0.0943842543039958	S	>11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
H	0.181933842239186	M	≤4.25 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
H	0.18595041322314	M	4.25-11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
H	0.18348623853211	M	>11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
G	0.201379310344828	M	≤4.25 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
G	0.185714285714286	M	4.25-11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
G	0.256130790190736	M	>11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.169312169312169	M (PPA)	≤4.25 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.219230769230769	M (PPA)	4.25-11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.244318181818182	M (PPA)	>11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.174934725848564	M (PTE)	≤4.25 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.21654501216545	M (PTE)	4.25-11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.214925373134328	M (PTE)	>11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.164588528678304	M (PTS)	≤4.25 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.20863309352518	M (PTS)	4.25-11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.181647940074906	M (PTS)	>11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.167582417582418	M (PTT)	≤4.25 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.177130044843049	M (PTT)	4.25-11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.178521617852162	M (PTT)	>11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.199261992619926	M (PTV)	≤4.25 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.18	M (PTV)	4.25-11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
C	0.240506329113924	M (PTV)	>11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
O	0.15171650055371	M (PAB)	≤4.25 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
O	0.186170212765957	M (PAB)	4.25-11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
