dif	sp	mType	tel	ax
0.483933304471691	H	T-to-A	17L	A
0.901506100322512	H	T-to-A	18R	A
-1.57179765172132	H	T-to-A	19L	A
1.09077083150157	H	T-to-A	19R	A
-0.749692411551934	H	T-to-A	21R	A
-0.526880420573582	H	T-to-A	22R	A
0.452278241766221	H	T-to-A	PAR1	PAR1
-0.256667025386405	H	T-to-C	2R	A
1.73289958046873	H	T-to-C	4R	A
1.02820380150334	H	T-to-C	5R	A
2.3950876685077	H	T-to-C	6L	A
0.499659357373193	H	T-to-C	6R	A
-0.0778992332325898	H	T-to-C	7R	A
0.0870272854682144	H	T-to-C	8L	A
-0.395182745511287	H	T-to-C	8R	A
-1.13408265919776	H	T-to-C	9R	A
-0.0709202695349779	H	T-to-C	10L	A
-0.645121322932677	H	T-to-C	10R	A
-1.17957177067596	H	T-to-C	11L	A
1.59352972218722	H	T-to-C	11R	A
1.6009204356382	H	T-to-C	12L	A
-0.487050671586712	H	T-to-C	12R	A
-0.22640714326262	H	T-to-C	13R	A
-0.832145813734136	H	T-to-C	14R	A
-1.54767386803566	H	T-to-C	16L	A
-0.745502675476247	H	T-to-C	16R	A
-0.00828721792551745	H	T-to-C	17L	A
0.154811627881966	H	T-to-C	18R	A
-1.68856931975436	H	T-to-C	19L	A
0.193083307064476	H	T-to-C	19R	A
-0.36394768635673	H	T-to-C	21R	A
-0.297923667150719	H	T-to-C	22R	A
0.671730303661336	H	T-to-C	PAR1	PAR1
-0.773771967276589	H	T-to-G	2R	A
1.69099038441712	H	T-to-G	4R	A
0.840013666289126	H	T-to-G	5R	A
1.72043381385608	H	T-to-G	6L	A
0.737506798207646	H	T-to-G	6R	A
-0.0782493576295468	H	T-to-G	7R	A
1.14850092329732	H	T-to-G	8L	A
-1.01913092059531	H	T-to-G	8R	A
-1.52401678100106	H	T-to-G	9R	A
0.571875667690776	H	T-to-G	10L	A
-0.691506039566625	H	T-to-G	10R	A
-1.3804805307467	H	T-to-G	11L	A
1.19813210178557	H	T-to-G	11R	A
1.37758595072855	H	T-to-G	12L	A
-0.337773163666189	H	T-to-G	12R	A
0.456309376710566	H	T-to-G	13R	A
-1.31697831500528	H	T-to-G	14R	A
-1.23160158685293	H	T-to-G	16L	A
-0.293252797997072	H	T-to-G	16R	A
0.533471977620631	H	T-to-G	17L	A
-0.282931783980767	H	T-to-G	18R	A
-1.24122688808141	H	T-to-G	19L	A
-0.430961435997367	H	T-to-G	19R	A
-0.12769419511234	H	T-to-G	21R	A
