tel	sp	prop	mType	diff
9R	O	0.0753099333547009	C-to-A	0.0753099333547009
10L	H	0.0806380640034295	C-to-A	0.0806380640034295
10L	C	0.0755424752894029	C-to-A	0.0755424752894029
10L	G	0.0707074185758505	C-to-A	0.0707074185758505
10L	O	0.0748406951440975	C-to-A	0.0748406951440975
10R	H	0.0772757684072404	C-to-A	0.0772757684072404
10R	C	0.0712378331179781	C-to-A	0.0712378331179781
10R	G	0.0730275022588521	C-to-A	0.0730275022588521
10R	O	0.0764219518906702	C-to-A	0.0764219518906702
11L	H	0.0759830867064011	C-to-A	0.0759830867064011
11L	C	0.0705341706168519	C-to-A	0.0705341706168519
11L	G	0.0794166963290336	C-to-A	0.0794166963290336
11L	O	0.0785950770760927	C-to-A	0.0785950770760927
11R	H	0.0819669228862653	C-to-A	0.0819669228862653
11R	C	0.0663681227460973	C-to-A	0.0663681227460973
11R	G	0.0707535498729445	C-to-A	0.0707535498729445
11R	O	0.0724126182447234	C-to-A	0.0724126182447234
12L	H	0.0692182954493657	C-to-A	0.0692182954493657
12L	C	0.0625808667242131	C-to-A	0.0625808667242131
12L	G	0.0604850740693075	C-to-A	0.0604850740693075
12L	O	0.0636787352339669	C-to-A	0.0636787352339669
12R	H	0.0753089920878723	C-to-A	0.0753089920878723
12R	C	0.0594040453312616	C-to-A	0.0594040453312616
12R	G	0.0678352686207124	C-to-A	0.0678352686207124
12R	O	0.0698844950718398	C-to-A	0.0698844950718398
13R	H	0.070001683389788	C-to-A	0.070001683389788
13R	C	0.06062097057404	C-to-A	0.06062097057404
13R	G	0.0674199375422439	C-to-A	0.0674199375422439
13R	O	0.0750885013925023	C-to-A	0.0750885013925023
14R	H	0.0728733963814628	C-to-A	0.0728733963814628
14R	C	0.0654976996435209	C-to-A	0.0654976996435209
14R	G	0.0736586645677555	C-to-A	0.0736586645677555
14R	O	0.0773826958333405	C-to-A	0.0773826958333405
16L	H	0.0828387767122079	C-to-A	0.0828387767122079
16L	C	0.0698416446479597	C-to-A	0.0698416446479597
16L	G	0.0737202809130005	C-to-A	0.0737202809130005
16L	O	0.0778431277676915	C-to-A	0.0778431277676915
16R	H	0.0791790331772028	C-to-A	0.0791790331772028
16R	C	0.0712621556708209	C-to-A	0.0712621556708209
16R	G	0.0783297056088808	C-to-A	0.0783297056088808
16R	O	0.0706455404366891	C-to-A	0.0706455404366891
17L	H	0.0732361154499366	C-to-A	0.0732361154499366
17L	C	0.0666339783516698	C-to-A	0.0666339783516698
17L	G	0.0637013719183641	C-to-A	0.0637013719183641
17L	O	0.068958552790613	C-to-A	0.068958552790613
18R	H	0.0779747216354103	C-to-A	0.0779747216354103
18R	C	0.0688096928402907	C-to-A	0.0688096928402907
18R	G	0.0755622122442259	C-to-A	0.0755622122442259
18R	O	0.0743876086291864	C-to-A	0.0743876086291864
19L	H	0.0833586524099635	C-to-A	0.0833586524099635
19L	C	0.0725050836793948	C-to-A	0.0725050836793948
19L	G	0.0789677497880051	C-to-A	0.0789677497880051
19L	O	0.0809851570440535	C-to-A	0.0809851570440535
19R	H	0.0853743500972936	C-to-A	0.0853743500972936
19R	C	0.0774004790441719	C-to-A	0.0774004790441719
19R	G	0.0848112205788787	C-to-A	0.0848112205788787
19R	O	0.0888809347605619	C-to-A	0.0888809347605619
21R	H	0.0716271652617923	C-to-A	0.0716271652617923
21R	C	0.0607944630515422	C-to-A	0.0607944630515422
21R	G	0.0710233394538167	C-to-A	0.0710233394538167
21R	O	0.0740183321877042	C-to-A	0.0740183321877042
22R	H	0.0762144098260379	C-to-A	0.0762144098260379
22R	C	0.0717963901133847	C-to-A	0.0717963901133847
22R	G	0.0750530322196799	C-to-A	0.0750530322196799
22R	O	0.0742507166454862	C-to-A	0.0742507166454862
PAR1	H	0.0703247863920781	C-to-A	0.0703247863920781
PAR1	C	0.0617591359235179	C-to-A	0.0617591359235179
PAR1	G	0.0763884279633504	C-to-A	0.0763884279633504
PAR1	O	0.0729413178592465	C-to-A	0.0729413178592465
2R	H	0.0973446523596248	C-to-G	0.0736276841907404
2R	C	0.0896447206420884	C-to-G	0.0661950352341533
2R	G	0.0920341454647196	C-to-G	0.0645363118278175
2R	O	0.0891538374074771	C-to-G	0.0737162814661651
4R	H	0.0874665914918762	C-to-G	0.0819163066047197
4R	C	0.0848648349825861	C-to-G	0.0788821935983194
4R	G	0.0921132466211306	C-to-G	0.0768738192123238
4R	O	0.0822268143779852	C-to-G	0.0793748678393907
5R	H	0.0936366707482515	C-to-G	0.0656186691475882
5R	C	0.092514108967423	C-to-G	0.0553569638514872
5R	G	0.0865473328542143	C-to-G	0.064798537517712
5R	O	0.0900208484441884	C-to-G	0.0696727507891243
6L	H	0.0899759287534572	C-to-G	0.0626221901030771
6L	C	0.0896477024550372	C-to-G	0.0610886802080193
6L	G	0.0935721278691589	C-to-G	0.0654472530459139
6L	O	0.0849789517310354	C-to-G	0.0667106387999484
6R	H	0.086792727881359	C-to-G	0.0718465236881071
6R	C	0.0938579154415437	C-to-G	0.0714837284776616
6R	G	0.0938201054037189	C-to-G	0.0706912181560352
6R	O	0.0891734659374059	C-to-G	0.0737574209165158
7R	H	0.087578637846761	C-to-G	0.0789981815602471
7R	C	0.0917465771108947	C-to-G	0.0676187956391868
7R	G	0.0976412845416177	C-to-G	0.0690088822042348
7R	O	0.0894654884755608	C-to-G	0.0718070403097901
8L	H	0.135148808226534	C-to-G	0.084569499020187
8L	C	0.129512957909992	C-to-G	0.0876687608344554
8L	G	0.125492259285828	C-to-G	0.0955827812778226
8L	O	0.0970429763023102	C-to-G	0.0756823794491626
8R	H	0.100486761960633	C-to-G	0.0758265481792532
8R	C	0.107281257107003	C-to-G	0.0696645898860093
8R	G	0.101112054259829	C-to-G	0.0828019457011008
8R	O	0.101569462833927	C-to-G	0.0796195613084319
9R	H	0.105449167895118	C-to-G	0.0696447920304172
9R	C	0.0988498484670001	C-to-G	0.0676788754889827
9R	G	0.101239052382648	C-to-G	0.0752744785295074
9R	O	0.0943856007946308	C-to-G	0.0753099333547009
10L	H	0.0976918332607908	C-to-G	0.0806380640034295
10L	C	0.0987396000463139	C-to-G	0.0755424752894029
10L	G	0.103636162429061	C-to-G	0.0707074185758505
10L	O	0.0905646155378797	C-to-G	0.0748406951440975
10R	H	0.0918683993501896	C-to-G	0.0772757684072404
10R	C	0.0901370738091337	C-to-G	0.0712378331179781
10R	G	0.0989533275961801	C-to-G	0.0730275022588521
10R	O	0.0902877026670001	C-to-G	0.0764219518906702
11L	H	0.110282654293176	C-to-G	0.0759830867064011
11L	C	0.10330102228891	C-to-G	0.0705341706168519
11L	G	0.106902417738878	C-to-G	0.0794166963290336
11L	O	0.098297336439489	C-to-G	0.0785950770760927
11R	H	0.0847310463950934	C-to-G	0.0819669228862653
11R	C	0.101362527898222	C-to-G	0.0663681227460973
11R	G	0.0959840614838346	C-to-G	0.0707535498729445
11R	O	0.0921599543106739	C-to-G	0.0724126182447234
12L	H	0.090229676562101	C-to-G	0.0692182954493657
12L	C	0.0922977442399379	C-to-G	0.0625808667242131
12L	G	0.093096488932142	C-to-G	0.0604850740693075
12L	O	0.0912493496591855	C-to-G	0.0636787352339669
12R	H	0.0982501300619207	C-to-G	0.0753089920878723
12R	C	0.0872472988110082	C-to-G	0.0594040453312616
12R	G	0.0965119576064472	C-to-G	0.0678352686207124
12R	O	0.0928867792703709	C-to-G	0.0698844950718398
13R	H	0.0874840901029725	C-to-G	0.070001683389788
13R	C	0.0970142106221913	C-to-G	0.06062097057404
13R	G	0.0947016800249182	C-to-G	0.0674199375422439
13R	O	0.0835113010398235	C-to-G	0.0750885013925023
14R	H	0.107545161117245	C-to-G	0.0728733963814628
14R	C	0.106124127844977	C-to-G	0.0654976996435209
14R	G	0.104180331453059	C-to-G	0.0736586645677555
14R	O	0.100014787738852	C-to-G	0.0773826958333405
16L	H	0.114121382356304	C-to-G	0.0828387767122079
16L	C	0.114046938702311	C-to-G	0.0698416446479597
16L	G	0.123826991083305	C-to-G	0.0737202809130005
16L	O	0.108625465565986	C-to-G	0.0778431277676915
16R	H	0.126204609345375	C-to-G	0.0791790331772028
16R	C	0.126713137903787	C-to-G	0.0712621556708209
16R	G	0.113767066615575	C-to-G	0.0783297056088808
16R	O	0.0967597792560498	C-to-G	0.0706455404366891
17L	H	0.106683835201099	C-to-G	0.0732361154499366
17L	C	0.113993094319226	C-to-G	0.0666339783516698
17L	G	0.110401342562598	C-to-G	0.0637013719183641
17L	O	0.101735608599086	C-to-G	0.068958552790613
18R	H	0.0839903506544728	C-to-G	0.0779747216354103
18R	C	0.0896749739261336	C-to-G	0.0688096928402907
18R	G	0.0933979246752753	C-to-G	0.0755622122442259
18R	O	0.0872499261554725	C-to-G	0.0743876086291864
19L	H	0.118596805520234	C-to-G	0.0833586524099635
19L	C	0.11929751151824	C-to-G	0.0725050836793948
19L	G	0.116164605660738	C-to-G	0.0789677497880051
19L	O	0.106436463538511	C-to-G	0.0809851570440535
19R	H	0.09255473914885	C-to-G	0.0853743500972936
19R	C	0.103531302679948	C-to-G	0.0774004790441719
19R	G	0.0925623926464297	C-to-G	0.0848112205788787
19R	O	0.0926419476005673	C-to-G	0.0888809347605619
21R	H	0.0995880824406505	C-to-G	0.0716271652617923
21R	C	0.0975396069264239	C-to-G	0.0607944630515422
21R	G	0.098093809629129	C-to-G	0.0710233394538167
21R	O	0.0945708445682121	C-to-G	0.0740183321877042
22R	H	0.0985620339484002	C-to-G	0.0762144098260379
22R	C	0.104358473876205	C-to-G	0.0717963901133847
22R	G	0.0984155668678601	C-to-G	0.0750530322196799
22R	O	0.0969492121235949	C-to-G	0.0742507166454862
PAR1	H	0.136837008445903	C-to-G	0.0703247863920781
PAR1	C	0.139866177050898	C-to-G	0.0617591359235179
PAR1	G	0.123106557968401	C-to-G	0.0763884279633504
PAR1	O	0.119554234725596	C-to-G	0.0729413178592465
2R	H	0.339456550624502	C-to-T	0.0736276841907404
2R	C	0.339986874557253	C-to-T	0.0661950352341533
2R	G	0.351980423365716	C-to-T	0.0645363118278175
2R	O	0.383277881273831	C-to-T	0.0737162814661651
4R	H	0.275635236014507	C-to-T	0.0819163066047197
4R	C	0.285352424125159	C-to-T	0.0788821935983194
4R	G	0.264608160151141	C-to-T	0.0768738192123238
4R	O	0.320353686747819	C-to-T	0.0793748678393907
5R	H	0.307340138816511	C-to-T	0.0656186691475882
5R	C	0.290782692448796	C-to-T	0.0553569638514872
5R	G	0.303722852754105	C-to-T	0.064798537517712
5R	O	0.34172821547236	C-to-T	0.0696727507891243
6L	H	0.273233643234784	C-to-T	0.0626221901030771
6L	C	0.270661788681439	C-to-T	0.0610886802080193
6L	G	0.262299410307113	C-to-T	0.0654472530459139
6L	O	0.307264261730316	C-to-T	0.0667106387999484
6R	H	0.314382532661499	C-to-T	0.0718465236881071
6R	C	0.316214687435031	C-to-T	0.0714837284776616
6R	G	0.310644342911683	C-to-T	0.0706912181560352
6R	O	0.359176082177143	C-to-T	0.0737574209165158
7R	H	0.329160809399141	C-to-T	0.0789981815602471
7R	C	0.316697161553339	C-to-T	0.0676187956391868
7R	G	0.321689221851308	C-to-T	0.0690088822042348
7R	O	0.365654287420956	C-to-T	0.0718070403097901
8L	H	0.278593335416924	C-to-T	0.084569499020187
8L	C	0.301630252366304	C-to-T	0.0876687608344554
8L	G	0.307010168437727	C-to-T	0.0955827812778226
8L	O	0.357942858077145	C-to-T	0.0756823794491626
8R	H	0.345147025811819	C-to-T	0.0758265481792532
8R	C	0.344607756330795	C-to-T	0.0696645898860093
8R	G	0.357920527222234	C-to-T	0.0828019457011008
8R	O	0.393711641381433	C-to-T	0.0796195613084319
9R	H	0.36359424936351	C-to-T	0.0696447920304172
9R	C	0.35785653856098	C-to-T	0.0676788754889827
9R	G	0.362266308880428	C-to-T	0.0752744785295074
9R	O	0.401693559719196	C-to-T	0.0753099333547009
10L	H	0.315721314793487	C-to-T	0.0806380640034295
10L	C	0.314318441206146	C-to-T	0.0755424752894029
10L	G	0.299012794321513	C-to-T	0.0707074185758505
10L	O	0.343571813512797	C-to-T	0.0748406951440975
10R	H	0.346569310403343	C-to-T	0.0772757684072404
10R	C	0.336083866190742	C-to-T	0.0712378331179781
10R	G	0.336634425919178	C-to-T	0.0730275022588521
10R	O	0.375348182317787	C-to-T	0.0764219518906702
11L	H	0.359302584352717	C-to-T	0.0759830867064011
11L	C	0.387554060859678	C-to-T	0.0705341706168519
11L	G	0.386473237919888	C-to-T	0.0794166963290336
11L	O	0.41950915788463	C-to-T	0.0785950770760927
11R	H	0.290069014568032	C-to-T	0.0819669228862653
11R	C	0.272525344052737	C-to-T	0.0663681227460973
11R	G	0.280345858295897	C-to-T	0.0707535498729445
11R	O	0.320435310936821	C-to-T	0.0724126182447234
12L	H	0.294183063140917	C-to-T	0.0692182954493657
12L	C	0.282553207287983	C-to-T	0.0625808667242131
12L	G	0.278332660918119	C-to-T	0.0604850740693075
12L	O	0.32838410986624	C-to-T	0.0636787352339669
12R	H	0.340124978433188	C-to-T	0.0753089920878723
12R	C	0.342082838002589	C-to-T	0.0594040453312616
12R	G	0.343872830895149	C-to-T	0.0678352686207124
12R	O	0.369948735881997	C-to-T	0.0698844950718398
13R	H	0.331485538687838	C-to-T	0.070001683389788
13R	C	0.321592245724012	C-to-T	0.06062097057404
13R	G	0.325837830205914	C-to-T	0.0674199375422439
13R	O	0.374026967143217	C-to-T	0.0750885013925023
14R	H	0.35669446319196	C-to-T	0.0728733963814628
14R	C	0.349088997897687	C-to-T	0.0654976996435209
14R	G	0.357284970921335	C-to-T	0.0736586645677555
14R	O	0.393069517788394	C-to-T	0.0773826958333405
16L	H	0.366014589962997	C-to-T	0.0828387767122079
16L	C	0.377958327853565	C-to-T	0.0698416446479597
16L	G	0.367014319209049	C-to-T	0.0737202809130005
16L	O	0.394084631566446	C-to-T	0.0778431277676915
16R	H	0.328151050438415	C-to-T	0.0791790331772028
16R	C	0.329884760720069	C-to-T	0.0712621556708209
16R	G	0.338780367834325	C-to-T	0.0783297056088808
16R	O	0.380601186481346	C-to-T	0.0706455404366891
17L	H	0.319570226336046	C-to-T	0.0732361154499366
17L	C	0.305044503550329	C-to-T	0.0666339783516698
17L	G	0.315458720613056	C-to-T	0.0637013719183641
17L	O	0.345108971781765	C-to-T	0.068958552790613
18R	H	0.329939135663359	C-to-T	0.0779747216354103
18R	C	0.310194066071796	C-to-T	0.0688096928402907
18R	G	0.301884305554676	C-to-T	0.0755622122442259
18R	O	0.343448461701896	C-to-T	0.0743876086291864
19L	H	0.364324633323506	C-to-T	0.0833586524099635
19L	C	0.365902998430118	C-to-T	0.0725050836793948
19L	G	0.374226584536456	C-to-T	0.0789677497880051
19L	O	0.406538458910245	C-to-T	0.0809851570440535
19R	H	0.330213493422708	C-to-T	0.0853743500972936
19R	C	0.310394567902785	C-to-T	0.0774004790441719
19R	G	0.338974530467242	C-to-T	0.0848112205788787
19R	O	0.368544324648823	C-to-T	0.0888809347605619
21R	H	0.332000747996577	C-to-T	0.0716271652617923
21R	C	0.342046693447792	C-to-T	0.0607944630515422
21R	G	0.353401793710505	C-to-T	0.0710233394538167
21R	O	0.372195422854676	C-to-T	0.0740183321877042
22R	H	0.339755948739942	C-to-T	0.0762144098260379
22R	C	0.340796543632257	C-to-T	0.0717963901133847
22R	G	0.351518959539822	C-to-T	0.0750530322196799
22R	O	0.377052080671328	C-to-T	0.0742507166454862
PAR1	H	0.2748569550267	C-to-T	0.0703247863920781
PAR1	C	0.270420234388328	C-to-T	0.0617591359235179
PAR1	G	0.291426304018469	C-to-T	0.0763884279633504
PAR1	O	0.330158445192563	C-to-T	0.0729413178592465
2R	H	0.120596566050699	CpG-to-TpG	0.0736276841907404
2R	C	0.121926833948934	CpG-to-TpG	0.0661950352341533
2R	G	0.123156275226627	CpG-to-TpG	0.0645363118278175
2R	O	0.11897805040287	CpG-to-TpG	0.0737162814661651
4R	H	0.0694246417903166	CpG-to-TpG	0.0819163066047197
4R	C	0.0806246890375366	CpG-to-TpG	0.0788821935983194
4R	G	0.0714140386571719	CpG-to-TpG	0.0768738192123238
4R	O	0.0790622200804263	CpG-to-TpG	0.0793748678393907
5R	H	0.0987050825854868	CpG-to-TpG	0.0656186691475882
5R	C	0.0957766623572439	CpG-to-TpG	0.0553569638514872
5R	G	0.101145235879109	CpG-to-TpG	0.064798537517712
5R	O	0.0931765392711552	CpG-to-TpG	0.0696727507891243
6L	H	0.0754636295962225	CpG-to-TpG	0.0626221901030771
6L	C	0.0755978842551123	CpG-to-TpG	0.0610886802080193
6L	G	0.0753756810153865	CpG-to-TpG	0.0654472530459139
6L	O	0.0711884274772873	CpG-to-TpG	0.0667106387999484
6R	H	0.109077730250237	CpG-to-TpG	0.0718465236881071
6R	C	0.110085562854543	CpG-to-TpG	0.0714837284776616
