B	sp	B_full	mType
0.382594237843373	HUM	0.406870184445458	TS (CpG-)
0.436836651186827	HUM	0.406870184445458	TS (CpG-)
0.393504989172674	HUM	0.406870184445458	TS (CpG-)
0.439150845829015	HUM	0.406870184445458	TS (CpG-)
0.443723061015499	HUM	0.406870184445458	TS (CpG-)
0.409613904660595	HUM	0.406870184445458	TS (CpG-)
0.370558941416024	HUM	0.406870184445458	TS (CpG-)
0.395458872839795	HUM	0.406870184445458	TS (CpG-)
0.409259799436114	HUM	0.406870184445458	TS (CpG-)
0.436709224028679	HUM	0.406870184445458	TS (CpG-)
0.433348960890157	HUM	0.406870184445458	TS (CpG-)
0.394017373013939	HUM	0.406870184445458	TS (CpG-)
0.414207045070988	HUM	0.406870184445458	TS (CpG-)
0.372975318813151	HUM	0.406870184445458	TS (CpG-)
0.466378721926827	HUM	0.406870184445458	TS (CpG-)
0.436916355103467	HUM	0.406870184445458	TS (CpG-)
0.495068729865613	HUM	0.406870184445458	TS (CpG-)
0.385048600572352	HUM	0.406870184445458	TS (CpG-)
0.417267937784543	HUM	0.406870184445458	TS (CpG-)
0.430947955649004	HUM	0.406870184445458	TS (CpG-)
0.39334243730481	HUM	0.406870184445458	TS (CpG-)
0.40285024508024	HUM	0.406870184445458	TS (CpG-)
0.400427521696998	HUM	0.406870184445458	TS (CpG-)
0.432943495180327	HUM	0.406870184445458	TS (CpG-)
0.381301735808708	HUM	0.406870184445458	TS (CpG-)
0.415610931923216	HUM	0.406870184445458	TS (CpG-)
0.378306325427612	HUM	0.406870184445458	TS (CpG-)
0.427145601044997	HUM	0.406870184445458	TS (CpG-)
0.486813322298751	HUM	0.406870184445458	TS (CpG-)
0.384639897675622	HUM	0.406870184445458	TS (CpG-)
0.474952997340169	HUM	0.406870184445458	TS (CpG-)
0.40204886685783	HUM	0.406870184445458	TS (CpG-)
0.327201976751046	HUM	0.406870184445458	TS (CpG-)
0.360837780372112	HUM	0.406870184445458	TS (CpG-)
0.39917784244264	HUM	0.406870184445458	TS (CpG-)
0.333106070116391	HUM	0.406870184445458	TS (CpG-)
0.418071318718529	HUM	0.406870184445458	TS (CpG-)
0.392884055491941	HUM	0.406870184445458	TS (CpG-)
0.396185019942967	HUM	0.406870184445458	TS (CpG-)
0.396266076240563	HUM	0.406870184445458	TS (CpG-)
0.456093907305999	HUM	0.406870184445458	TS (CpG-)
0.417021510764079	HUM	0.406870184445458	TS (CpG-)
0.423839264807068	HUM	0.406870184445458	TS (CpG-)
0.423310821863266	HUM	0.406870184445458	TS (CpG-)
0.417915271492508	HUM	0.406870184445458	TS (CpG-)
0.397246253495733	HUM	0.406870184445458	TS (CpG-)
0.459835074912153	HUM	0.406870184445458	TS (CpG-)
0.465099347131186	HUM	0.406870184445458	TS (CpG-)
0.374545765706456	HUM	0.406870184445458	TS (CpG-)
0.447911608071202	HUM	0.406870184445458	TS (CpG-)
0.38421488765988	HUM	0.406870184445458	TS (CpG-)
0.394460823242587	HUM	0.406870184445458	TS (CpG-)
0.376734884015124	HUM	0.406870184445458	TS (CpG-)
0.38142457692705	HUM	0.406870184445458	TS (CpG-)
0.394965924359496	HUM	0.406870184445458	TS (CpG-)
0.394158352256056	HUM	0.406870184445458	TS (CpG-)
0.41931255227843	HUM	0.406870184445458	TS (CpG-)
0.404605041493072	HUM	0.406870184445458	TS (CpG-)
0.40107508367951	HUM	0.406870184445458	TS (CpG-)
0.34622211392683	HUM	0.406870184445458	TS (CpG-)
0.415653904685239	HUM	0.406870184445458	TS (CpG-)
0.414624718758492	HUM	0.406870184445458	TS (CpG-)
0.426561063825326	HUM	0.406870184445458	TS (CpG-)
0.393443126291482	HUM	0.406870184445458	TS (CpG-)
0.378901428178829	HUM	0.406870184445458	TS (CpG-)
0.432815898997507	HUM	0.406870184445458	TS (CpG-)
0.384047042531652	HUM	0.406870184445458	TS (CpG-)
0.375499288975186	HUM	0.406870184445458	TS (CpG-)
0.396123805710077	HUM	0.406870184445458	TS (CpG-)
0.39097520154679	HUM	0.406870184445458	TS (CpG-)
0.313854678142204	HUM	0.406870184445458	TS (CpG-)
0.422303646417476	HUM	0.406870184445458	TS (CpG-)
0.369627630235188	HUM	0.406870184445458	TS (CpG-)
0.409726894477783	HUM	0.406870184445458	TS (CpG-)
0.426707361830326	HUM	0.406870184445458	TS (CpG-)
0.374699098052934	HUM	0.406870184445458	TS (CpG-)
0.399059193504042	HUM	0.406870184445458	TS (CpG-)
0.417947979306228	HUM	0.406870184445458	TS (CpG-)
0.415882582310613	HUM	0.406870184445458	TS (CpG-)
0.409910033765325	HUM	0.406870184445458	TS (CpG-)
0.420874082186399	HUM	0.406870184445458	TS (CpG-)
0.400439232862286	HUM	0.406870184445458	TS (CpG-)
0.41758515742591	HUM	0.406870184445458	TS (CpG-)
0.409872245269587	HUM	0.406870184445458	TS (CpG-)
0.33723874209155	HUM	0.406870184445458	TS (CpG-)
0.427194537582419	HUM	0.406870184445458	TS (CpG-)
0.456158678585827	HUM	0.406870184445458	TS (CpG-)
0.377262493607249	HUM	0.406870184445458	TS (CpG-)
0.409555676854757	HUM	0.406870184445458	TS (CpG-)
0.425842275695832	HUM	0.406870184445458	TS (CpG-)
0.393171508885932	HUM	0.406870184445458	TS (CpG-)
0.423818860115693	HUM	0.406870184445458	TS (CpG-)
0.392761516958783	HUM	0.406870184445458	TS (CpG-)
0.391259161407254	HUM	0.406870184445458	TS (CpG-)
0.386669482074083	HUM	0.406870184445458	TS (CpG-)
0.486038920128166	HUM	0.406870184445458	TS (CpG-)
