param	nCall	pType	spAbbr3	POS
0.00284528608570964	2559	θ	GGG (N=4876)	440001
0.00384835470049206	3311	θ	GGG (N=4876)	470001
0.00211838653265554	4726	θ	GGG (N=4876)	490001
0.00301070422317688	3023	θ	GGG (N=4876)	500001
0.00234329527977954	2913	θ	GGG (N=4876)	530001
0.00161998296979451	3090	θ	GGG (N=4876)	540001
0.00181543062499941	3384	θ	GGG (N=4876)	550001
0.00153147865544822	3120	θ	GGG (N=4876)	570001
0.00274745308320923	4058	θ	GGG (N=4876)	590001
0.00177069238651045	3341	θ	GGG (N=4876)	620001
0.00136547692538463	4999	θ	GGG (N=4876)	630001
0.00147033261173889	4333	θ	GGG (N=4876)	640001
0.00222172844335879	4711	θ	GGG (N=4876)	650001
0.00281190686216819	4936	θ	GGG (N=4876)	670001
0.00259029618456147	3865	θ	GGG (N=4876)	680001
0.00267293946157525	4086	θ	GGG (N=4876)	690001
0.00215510740860681	4012	θ	GGG (N=4876)	700001
0.00251582277615095	3075	θ	GGG (N=4876)	710001
0.00199445409788102	2738	θ	GGG (N=4876)	720001
0.00249047430561944	4294	θ	GGG (N=4876)	730001
0.00261977581571577	5298	θ	GGG (N=4876)	750001
0.00308346432523898	3542	θ	GGG (N=4876)	770001
0.00202045193419789	2928	θ	GGG (N=4876)	780001
0.00264805320531385	3437	θ	GGG (N=4876)	790001
0.00188420479107116	3502	θ	GGG (N=4876)	800001
0.00351597748712174	3171	θ	GGG (N=4876)	810001
0.00215199373433225	4335	θ	GGG (N=4876)	820001
0.00209855256148618	3578	θ	GGG (N=4876)	830001
0.00374196762436468	4074	θ	GGG (N=4876)	860001
0.00141986877795066	2564	θ	GGG (N=4876)	880001
0.00187500154825477	4490	θ	GGG (N=4876)	890001
0.00185651086542586	3064	θ	GGG (N=4876)	940001
0.0029206683404636	4908	θ	GGG (N=4876)	950001
0.00211611103394758	6559	θ	GGG (N=4876)	960001
0.00122948915478614	8698	θ	GGG (N=4876)	970001
0.0028620625366867	2544	θ	GGG (N=4876)	990001
0.00264331005998312	9552	θ	HUM (N=29172)	1000001
0.000438253811116664	4609	θ	HUM (N=29172)	10001
0.00331066380034401	9101	θ	HUM (N=29172)	1010001
0.00254679218206161	9914	θ	HUM (N=29172)	1020001
0.00276000794621398	9758	θ	HUM (N=29172)	1030001
0.00250231454029108	9283	θ	HUM (N=29172)	1040001
0.00164804375336225	9703	θ	HUM (N=29172)	1050001
0.00333285449547056	10000	θ	HUM (N=29172)	1060001
0.00845029466931107	3466	θ	HUM (N=29172)	1070001
0.00653954064781263	3758	θ	HUM (N=29172)	1080001
0.00246043701700266	9441	θ	HUM (N=29172)	1110001
0.00239972035555037	8768	θ	HUM (N=29172)	1120001
