spAbbr	bin	posCM	femaleFreq1	femaleFreq2	maleFreq1	maleFreq2	avgDiff	pval	pvalAdj	sign0.05	sign0.1	bfCorr0.05	bfCorr0.1	diff
PPA	3	3.19799890055948	1058	1208	195	217	0.138349514563107	0.830101644065679	1	ns	ns	0.0025	0.005	-0.00639894086496029
PPA	4	4.2639985340793	2805	2189	488	420	0.143572286744093	0.179108090544586	1	ns	ns	0.0025	0.005	0.0242290748898679
PPA	5	5.32999816759913	884	788	155	149	0.145035885167464	0.574291184423127	1	ns	ns	0.0025	0.005	0.0188397129186604
PPA	6	6.39599780111895	1094	1128	188	216	0.145814581458146	0.330364027855089	1	ns	ns	0.0025	0.005	0.027002700270027
PPA	7	7.46199743463878	962	1018	186	174	0.125757575757576	0.302336138722886	1	ns	ns	0.0025	0.005	-0.0308080808080808
PPA	8	8.52799706815861	246	304	45	55	0.151818181818182	1	1	ns	ns	0.0025	0.005	-0.00272727272727274
PPA	9	9.59399670167843	1490	1480	277	263	0.143939393939394	0.640112456994202	1	ns	ns	0.0025	0.005	-0.0112794612794612
PPA	10	10.6599963351983	529	659	96	120	0.133838383838384	1	1	ns	ns	0.0025	0.005	0.000841750841750866
PPA	11	11.7259959687181	1004	1042	166	206	0.161290322580645	0.127770605531452	1	ns	ns	0.0025	0.005	0.0444770283479961
PPA	12	12.7919956022379	1395	1575	256	284	0.144781144781145	0.851466133472875	1	ns	ns	0.0025	0.005	-0.00437710437710437
PPA	13	13.8579952357577	1071	997	202	174	0.134912959381044	0.50110772946238	1	ns	ns	0.0025	0.005	-0.0193423597678917
PPA	14	14.9239948692776	736	760	125	147	0.13870320855615	0.355960601642907	1	ns	ns	0.0025	0.005	0.0324197860962567
PPA	15	15.9899945027974	1695	2001	302	370	0.132575757575758	0.673939543471368	1	ns	ns	0.0025	0.005	0.00919913419913421
PPA	16	17.0559941363172	2720	2648	488	488	0.156482861400894	0.702027526038361	1	ns	ns	0.0025	0.005	0.00670640834575265
PPA	17	18.121993769837	1975	1897	338	366	0.142303719008264	0.151535584455097	1	ns	ns	0.0025	0.005	0.0299586776859504
PPA	18	19.1879934033569	4253	4283	776	776	0.119259606373008	0.912116036994793	1	ns	ns	0.0025	0.005	-0.00175726335520149
PPA	19	20.2539930368767	2357	3121	431	565	0.127875136911281	0.889390194789374	1	ns	ns	0.0025	0.005	-0.00246440306681273
PPA	20	21.3199926703965	4562	4524	812	840	0.146489104116223	0.437994289371654	1	ns	ns	0.0025	0.005	0.0105657054809597
PTE	1	1.06609469668905	739	801	747	793	0.12987012987013	0.800723186094435	1	ns	ns	0.0025	0.005	-0.0051948051948052
PTE	2	2.13218939337809	1118	1222	1117	1223	0.115811965811966	1	1	ns	ns	0.0025	0.005	0.000427350427350426
PTE	3	3.19828409006714	1154	1196	1194	1156	0.125106382978723	0.255223528876351	1	ns	ns	0.0025	0.005	-0.0170212765957447
PTE	4	4.26437878675619	713	707	719	701	0.125352112676056	0.851152573522454	1	ns	ns	0.0025	0.005	-0.00422535211267605
PTE	5	5.33047348344523	1030	910	1024	916	0.143298969072165	0.872239263749935	1	ns	ns	0.0025	0.005	0.00309278350515463
PTE	6	6.39656818013428	1981	1909	1918	1972	0.175578406169666	0.159770015411108	1	ns	ns	0.0025	0.005	0.0161953727506427
PTE	7	7.46266287682333	1254	1326	1212	1368	0.145736434108527	0.253181420829207	1	ns	ns	0.0025	0.005	0.0162790697674419
PTE	8	8.52875757351237	942	1118	936	1124	0.153398058252427	0.87571563385674	1	ns	ns	0.0025	0.005	0.00291262135922332
PTE	9	9.59485227020142	1870	1910	1896	1884	0.115343915343915	0.565254555109964	1	ns	ns	0.0025	0.005	-0.00687830687830687
PTE	10	10.6609469668905	574	546	571	549	0.10625	0.932632389108069	1	ns	ns	0.0025	0.005	0.00267857142857142
PTE	11	11.7270416635795	1408	1402	1430	1380	0.128825622775801	0.575294497662564	1	ns	ns	0.0025	0.005	-0.00782918149466194
PTE	12	12.7931363602686	1046	914	1032	928	0.120408163265306	0.677397591663085	1	ns	ns	0.0025	0.005	0.00714285714285712
PTE	13	13.8592310569576	576	764	585	755	0.138059701492537	0.755152601151005	1	ns	ns	0.0025	0.005	-0.00671641791044775
PTE	14	14.9253257536467	1536	1344	1479	1401	0.149652777777778	0.139574068968883	1	ns	ns	0.0025	0.005	0.0197916666666667
PTE	15	15.9914204503357	2080	1670	1969	1781	0.161333333333333	0.0108151785316321	0.216303570632642	ns	ns	0.0025	0.005	0.0296
PTE	16	17.0575151470247	2552	2198	2434	2316	0.150736842105263	0.0162229940099743	0.324459880199485	ns	ns	0.0025	0.005	0.0248421052631579
PTE	17	18.1236098437138	1790	1800	1816	1774	0.134818941504178	0.555138920825326	1	ns	ns	0.0025	0.005	-0.00724233983286904
PTE	18	19.1897045404028	4233	4447	4208	4472	0.167165898617512	0.715527454406659	1	ns	ns	0.0025	0.005	0.00288018433179726
PTE	19	20.2557992370919	2067	2353	2120	2300	0.140497737556561	0.268002143049909	1	ns	ns	0.0025	0.005	-0.0119909502262444
PTE	20	21.3218939337809	1388	1392	1364	1416	0.134532374100719	0.537278524036662	1	ns	ns	0.0025	0.005	0.00863309352517982
PTS	1	1.06650828905561	4254	4352	1967	2005	0.0831784026648075	0.938836112493976	1	ns	ns	0.0025	0.005	-0.000910217677589253
PTS	2	2.13301657811122	3127	3763	1413	1767	0.0933962264150943	0.377149708933563	1	ns	ns	0.0025	0.005	0.0095065312046444
PTS	3	3.19952486716683	4671	4455	2135	2077	0.0891774417415443	0.601904192837737	1	ns	ns	0.0025	0.005	0.00494922930820363
PTS	4	4.26603315622244	1305	1165	620	520	0.0982456140350877	0.389307898121786	1	ns	ns	0.0025	0.005	-0.0155195681511471
PTS	5	5.33254144527805	2663	3005	1257	1359	0.0958303928487415	0.368475762727223	1	ns	ns	0.0025	0.005	-0.0106739590684545
PTS	6	6.39904973433366	5053	5243	2382	2370	0.0955063455063455	0.233056552288624	1	ns	ns	0.0025	0.005	-0.0104895104895105
PTS	7	7.46555802338927	3814	4038	1745	1879	0.0799583970113771	0.687805447496439	1	ns	ns	0.0025	0.005	0.00422397690609611
PTS	8	8.53206631244488	5063	5415	2366	2470	0.0936883629191322	0.486690852189216	1	ns	ns	0.0025	0.005	-0.00604441051091176
PTS	9	9.59857460150049	3512	3378	1604	1576	0.0902757619738752	0.621968966264224	1	ns	ns	0.0025	0.005	0.00532172230285433
PTS	10	10.6650828905561	2057	2389	964	1088	0.0762483130904184	0.592726555680004	1	ns	ns	0.0025	0.005	-0.00712250712250712
PTS	11	11.7315911796117	4761	4885	2233	2219	0.0832642200566729	0.38445708474978	1	ns	ns	0.0025	0.005	-0.00799986177344675
PTS	12	12.7980994686673	1039	937	476	436	0.0814777327935223	0.872635170727705	1	ns	ns	0.0025	0.005	0.00387989203778683
PTS	13	13.8646077577229	3847	4031	1782	1854	0.0880511128035881	0.872542937675458	1	ns	ns	0.0025	0.005	-0.00177710078700177
PTS	14	14.9311160467785	6911	6687	3169	3107	0.0948791488944453	0.669155092906227	1	ns	ns	0.0025	0.005	0.00329705348825815
PTS	15	15.9976243358342	6255	6511	2870	3022	0.108386860932686	0.717130690946736	1	ns	ns	0.0025	0.005	0.00287221264818011
PTS	16	17.0641326248898	6456	6284	2957	2923	0.0765436944008373	0.625044603370292	1	ns	ns	0.0025	0.005	0.00385923600209315
PTS	17	18.1306409139454	9788	9972	4469	4651	0.0839490553306343	0.403406321684734	1	ns	ns	0.0025	0.005	0.00532219973009446
PTS	18	19.197149203001	6536	7088	3061	3227	0.0954320806420043	0.360017075497859	1	ns	ns	0.0025	0.005	-0.00705862203953805
PTS	19	20.2636574920566	8284	8694	3808	4028	0.0868575018651588	0.774215486364489	1	ns	ns	0.0025	0.005	0.00196332508736796
PTS	20	21.3301657811122	111	149	52	68	0.0679487179487179	0.911696344846506	1	ns	ns	0.0025	0.005	-0.00641025641025644
PTT	1	1.06659434149789	6189	6161	2361	2389	0.0824939271255061	0.644815891910579	1	ns	ns	0.0025	0.005	0.004080971659919
PTT	2	2.13318868299578	5712	6274	2222	2388	0.0806607708993826	0.532335183975951	1	ns	ns	0.0025	0.005	-0.0054396796262306
PTT	3	3.19978302449367	5282	4832	2036	1854	0.0874826972513348	0.909787936130056	1	ns	ns	0.0025	0.005	-0.00114692505438008
PTT	4	4.26637736599157	4784	3952	1833	1527	0.0781364468864469	0.838454493013639	1	ns	ns	0.0025	0.005	0.00208333333333344
PTT	5	5.33297170748946	5187	5161	2032	1948	0.0781407035175879	0.322895122360637	1	ns	ns	0.0025	0.005	-0.00929648241206027
PTT	6	6.39956604898735	7120	7388	2742	2838	0.0918114143920595	0.93721808050223	1	ns	ns	0.0025	0.005	-0.000634132892197381
PTT	7	7.46616039048524	3897	3201	1479	1251	0.0902225979149056	0.52649432931958	1	ns	ns	0.0025	0.005	0.00726965342349961
PTT	8	8.53275473198313	6844	7482	2658	2852	0.085802038252129	0.557212064611505	1	ns	ns	0.0025	0.005	-0.00466285076085438
PTT	9	9.59934907348102	4074	4714	1576	1804	0.0900773782430587	0.791975550108914	1	ns	ns	0.0025	0.005	-0.00268548020027309
