spAbbr	cMmbAvgREC	pi	nCall
GGG	26.8234260005537	3.855074	2885
GGG	8.18673065063668	7.971984	4477
GGG	12.0546692800944	7.5816469	4775
GGG	3.23873954432184	7.5304364	2697
GGG	3.26662566508703	3.6270552	2574
GGG	0.724353876183792	10.1314011	2881
GGG	2.60999528143325	7.8541081	3492
GGG	7.4168580387887	6.781643	3080
GGG	0.394588575317961	4.634782	2730
GGG	3.34143398994405	3.7768127	2986
GGG	1.48729455994731	4.6057981	3337
GGG	12.1689642086705	3.4251236	3514
GGG	12.5736266440992	2.647344	2794
GGG	11.9888633940622	5.9188439	2945
GGG	11.7455710828666	8.2695659	2894
GGG	10.1465565917608	2.5652191	2703
GGG	1.38510217316843	7.2096628	2997
GGG	1.80834801925008	7.3439622	4924
GGG	2.51667258740839	6.7053146	3957
GGG	6.56362259038429	8.9661883	3756
GGG	1.53907072448689	2.5352672	2614
GGG	2.2919021029725	5.7826101	2671
GGG	7.86591401836457	5.1671542	3060
GGG	2.81180415941033	3.1072495	2623
GGG	6.14922762354346	4.1217396	3512
GGG	7.18358383085318	4.9227084	2784
GGG	1.96972547617651	8.2579741	3881
GGG	3.63710552464095	6.4589378	2608
GGG	1.27863665014259	4.0338196	2790
GGG	23.782879413996	6.2434829	3294
GGG	7.6903206323864	4.8743985	2757
GGG	7.18220538651992	8.0173933	3817
GGG	7.00117794422541	12.7468687	4568
GGG	10.8833396291984	10.7256094	3243
GGG	12.5034379290118	9.0782646	4740
GGG	8.16544639226292	14.4772955	5667
GGG	11.9917943758685	16.2154584	4408
GGG	4.84684836314724	6.7227102	2629
GGG	1.37861916328492	4.5961362	2503
GGG	3.62095804482643	13.152659	3784
GGG	19.0928961823293	9.3971059	3012
GGG	5.64871126785263	11.3256079	3820
GGG	7.83731460943344	5.0463773	3232
GGG	6.27435886001479	11.5951768	4195
GGG	10.1398368495296	9.681161	3211
GGG	1.61853704410926	8.9169078	3500
GGG	0.72755769151478	9.1217391	5069
GGG	2.09120513082037	11.0743976	2798
GGG	0.485325392983594	2.7729489	3002
GGG	3.66608277977245	14.6009702	4672
GGG	1.06600563567193	5.4492776	4156
GGG	1.97424877261513	12.0724654	4852
GGG	1.02750328313818	7.9275375	3400
GGG	2.89130832714534	8.4328505	3411
GGG	40.6927616721633	5.9130467	2896
GGG	5.35757579840052	9.6695715	3780
GGG	5.80842162576237	7.9632899	3725
GGG	1.32577075190778	10.8782645	4120
GGG	1.63130115721578	9.4772994	4965
GGG	3.15300819442682	13.9487919	5870
GGG	5.72816732569059	4.5661849	3736
GGG	5.33381929195157	9.8859911	4447
GGG	13.8096826916605	26.8029048	6626
GGG	13.103523743291	12.8521745	3811
GGG	8.28073097078507	5.708214	3005
GGG	2.01811223914461	2.6550731	3372
GGG	3.97081624122285	8.741069	3957
GGG	26.2750693448201	15.7391351	3640
GGG	12.7517753331078	9.1091824	4858
GGG	10.1806097231592	5.800002	4567
GGG	15.7879194256342	6.5739157	3091
GGG	5.72893377968749	9.3758482	3386
GGG	2.57965175637987	9.9990338	3928
GGG	0.835485857785301	8.8106277	2800
GGG	6.93655012777614	12.9439628	4863
GGG	2.93667119043471	8.396139	4732
GGG	2.23930103498917	5.478269	4298
GGG	2.93235942146487	5.1487959	5287
GGG	0.71040880424712	5.6241552	4125
GGG	4.4751593099699	16.4550739	6465
GGG	1.25916148407874	11.3159512	7393
GGG	13.859183866995	3.8425151	2612
GGG	17.7088722871809	17.444448	5152
GGG	7.55449919929959	15.0821277	5174
GGG	2.33746325756121	5.0705315	3396
GGG	1.76259337593434	8.2715005	3638
GGG	0.598081474766331	11.6434811	4809
GGG	8.1385675834056	7.5062845	5349
GGG	3.15133768358628	10.9082173	4723
GGG	1.46276132506707	13.0995247	6066
GGG	3.63803372349745	11.5574903	5390
GGG	9.5383870853438	15.9120801	5645
GGG	28.5485302871408	8.3777813	2742
GGG	20.094203039458	5.6029006	4870
GGG	18.9233857946421	7.4492791	3805
GGG	22.1854511162193	12.5198128	3474
GGG	26.6650117415939	8.414494	2559
GGG	24.9995618694392	12.5632895	3311
GGG	28.9139084424504	10.2396163	4726
GGG	8.59365596990989	10.9884063	3023
GGG	26.3297757803088	7.9816455	2913
GGG	5.72541764213486	5.4685997	3090
GGG	6.08954291289854	4.5951705	3384
GGG	6.48687015045786	4.994203	3120
GGG	6.07660381534199	13.970053	4058
GGG	14.8930363516601	5.7574892	3341
GGG	16.9893687647923	4.370052	4999
GGG	16.9887321806278	6.0531429	4333
GGG	16.9884560103542	9.2531416	4711
GGG	6.11306408621864	14.054111	4936
GGG	4.66009627995957	11.0444455	3865
GGG	10.5709602818665	13.3623186	4086
GGG	4.26032898839426	9.8715027	4012
GGG	2.64934018496188	9.1004863	3075
GGG	25.1514910714166	5.7343015	2738
GGG	10.0361666124686	9.9594246	4294
GGG	22.613395742836	12.2473484	5298
GGG	8.61791147338281	10.2840595	3542
GGG	4.43383817382569	4.7198091	2928
GGG	3.63423322348218	9.7507284	3437
GGG	2.71888411610372	6.8985516	3502
GGG	9.43555880205591	9.941066	3171
GGG	12.3192418172875	11.044447	4335
GGG	8.2072002113369	8.5420337	3578
GGG	26.9773509722231	15.7768191	4074
GGG	25.4308099316522	4.5159438	2564
GGG	9.19117844778425	9.9632896	4490
GGG	10.543755359333	3.3362336	3064
GGG	4.09806227413414	17.7391305	4908
GGG	12.4034675220314	13.3613578	6559
GGG	4.74327096041522	6.5024181	8698
GGG	24.7801555801617	7.2144942	2544
HUM	3.95915261185353	23.79610533	9552
HUM	NA	1.68628028	4609
HUM	3.61579110171676	33.81422413	9101
HUM	3.56856518147367	25.56777147	9914
HUM	3.87443961932245	27.17787971	9758
HUM	7.37092907586845	23.48603263	9283
HUM	15.7670357434792	16.19748905	9703
HUM	16.5574900583051	27.76060774	10000
HUM	16.6253268340733	31.32806476	3466
HUM	16.6253268340733	29.00614981	3758
HUM	16.6253268340733	28.82453184	9441
HUM	16.6253268340733	20.9916651	8768
HUM	16.6253268340733	20.92344048	9997
HUM	16.6253268340733	21.61910561	6914
HUM	16.6253268340733	43.10420208	9544
HUM	16.6253268340733	22.39147833	9867
HUM	16.6253268340733	19.4138114	8807
HUM	16.6253268340733	14.87618107	9924
HUM	16.6253268340733	29.68250535	8233
HUM	16.6253268340733	30.18406172	8488
HUM	16.6253268340733	26.02795741	9874
HUM	16.6253268340733	29.41859126	9323
HUM	16.6253268340733	26.14676341	9772
HUM	16.6253268340733	19.84682373	9969
HUM	16.6253268340733	16.68241987	7609
HUM	16.6253268340733	23.29577563	9909
HUM	16.6253268340733	36.38093852	9597
HUM	16.6253268340733	32.481554	9383
HUM	14.9652752235947	33.59988851	9996
HUM	11.2653104223242	30.06199745	9979
HUM	11.2653104223242	17.71647184	8628
HUM	11.2653104223242	11.11701917	5663
HUM	11.2653104223242	4.07068546	3061
HUM	11.2653104223242	15.16164375	9622
HUM	11.2653104223242	19.33539121	9346
HUM	13.6596482357257	8.42560849	7781
HUM	13.9300254967825	46.73173289	9750
HUM	11.3842359217473	43.41985751	9873
HUM	6.65887481611711	24.99486884	8845
HUM	6.65887481611711	18.8846851	9726
HUM	6.76788688605373	25.34030749	8523
HUM	6.38362130270073	19.10947296	9506
HUM	2.59659597731431	23.59045379	9171
HUM	1.72131139426667	18.45135954	9535
